Cognitive Score,IQ,Verbal Ability,Logical Reasoning,Memorizing Ability,Spatial Awareness,Remote,Motivation Level,Work-Life Balance,Work Environment,Preferred Location,Travel Willingness,Career Growth,Work Hours Flexibility,Company Size Preference,Preferred Industry,Team Structure,Job Stability,Training Opportunities,Ethical Values,Preferred Work Style,Communication Style,Predicted Career Path
7,8,4,10,2,1,In office,Medium,Flexible,Collaborative and supportive,Urban area,Low,Not a priority,Important,Medium-sized enterprises,Finance,Large teams,High,Important,Neutral,Unstructured,Formal,Finance
6,7,10,7,9,10,In office,Medium,Strict,Collaborative and supportive,Suburban,High,Strongly preferred,Not important,MNCs,Other,Individual contributor,Low,Not important,Align with personal values,Hybrid,Mixed,Management Consultant
9,8,4,8,2,10,Remote,Low,Balanced,Collaborative and supportive,Rural,Moderate,Strongly preferred,Important,MNCs,Technology,Small teams,Low,Important,Not a priority,Unstructured,Informal,Blockchain Developer
8,1,4,4,8,10,In office,Low,Strict,Competitive,Urban area,Low,Not a priority,Not important,Medium-sized enterprises,Healthcare,Individual contributor,High,Not important,Neutral,Unstructured,Mixed,Doctor
9,5,4,4,7,5,Remote,Low,Strict,Independent,Urban area,Moderate,Not a priority,Important,Startups,Finance,Small teams,Low,Not important,Neutral,Unstructured,Informal,Cybersecurity
10,7,1,5,8,8,In office,Medium,Strict,Collaborative and supportive,Urban area,Low,Preferred,Not important,MNCs,Healthcare,Small teams,Medium,Not important,Neutral,Hybrid,Mixed,Chartered Accountant
4,7,8,6,2,2,Remote,Low,Strict,Collaborative and supportive,Urban area,High,Preferred,Not important,MNCs,Finance,Individual contributor,Medium,Not important,Not a priority,Hybrid,Informal,Blockchain Developer
9,7,8,10,2,9,Remote,Medium,Flexible,Competitive,Suburban,Low,Strongly preferred,Important,Startups,Technology,Individual contributor,Low,Not important,Neutral,Hybrid,Informal,Marketing Management
3,9,1,7,5,10,Remote,High,Flexible,Independent,Urban area,Low,Not a priority,Not important,MNCs,Finance,Individual contributor,High,Not important,Align with personal values,Hybrid,Formal,Machine Learning
1,2,1,1,9,10,In office,Medium,Balanced,Independent,Rural,High,Strongly preferred,Important,Medium-sized enterprises,Healthcare,Small teams,High,Important,Not a priority,Structured,Formal,Doctor
8,1,1,5,8,8,Remote,High,Strict,Competitive,Suburban,Low,Not a priority,Not important,Medium-sized enterprises,Education,Individual contributor,Low,Important,Neutral,Structured,Formal,Cybersecurity
4,2,7,10,3,8,In office,High,Strict,Competitive,Suburban,Moderate,Not a priority,Important,Startups,Healthcare,Large teams,High,Not important,Not a priority,Unstructured,Mixed,Business Analyst
